,BASIN,OUTLET_STR,IMPERVIOUS,LAWN,SUM,CN
0,POND B,POND-B,8.2670262530645,9279.154413735703,9287.421439988768,61.032934865004236
1,POND B,212-CB,8444.605579953075,1671.5761918056048,10116.18177175868,91.88619930995416
2,POND B,211-CB,6292.7514925191,7576.725245119975,13869.476737639074,77.78735323816122
3,POND B,210-CB,4725.009530988167,3916.246424514382,8641.25595550255,81.23147486277588
4,POND B,208-CB,6960.414071090938,4026.4302701421075,10986.844341233045,84.44033578994545
5,POND B,203-CB,19219.125501498947,7785.508749009608,27004.634250508556,87.33280039858602
6,POND B,205-CB,22609.036798437104,1.4718044491490723e-17,22609.036798437104,97.99999999999999
7,POND B,204-CB,1141.106466993471,2566.16478980625,3707.2712567997214,72.38868357725875
8,POND B,206-CB,17208.33080820293,7389.9977380590835,24598.32854626201,86.88420748613277
9,POND B,201-CB,16953.87858899017,7158.994345487779,24112.87293447795,87.01488049545921
10,POND B,207-CB,17735.40207528068,6110.482247520865,23845.884322801543,88.51878973756132
11,POND A,108-CB,35400.15002253395,12312.592428986469,47712.74245152042,88.4519024381089
12,POND A,108-CB,35400.15002253395,12312.592428986469,47712.74245152042,88.4519024381089
13,POND A,104-CB,30308.932017603536,1295.1459538916322,31604.077971495168,96.48372731084858
14,POND A,102-CB,16992.424465502645,5108.505630511301,22100.930096013944,89.44765819774219
15,POND B,209-CB,7217.490912952371,3099.392883421849,10316.88379637422,86.88447917510607
16,POND A,109-CB,21320.17274909152,21264.918902976075,42585.0916520676,79.52400361519678
17,POND A,112-CB,14512.28510857769,9363.69186408816,23875.97697266585,83.48932262047751
18,POND A,116-CB,18535.47592374974,7476.920332646709,26012.396256396445,87.3648378418847
19,NOT CAPTURED,501-CB,15392.186159544237,9406.038475397629,24798.224634941864,83.96579276488484
20,POND A,115-CB,18428.486639140883,16424.910562018114,34853.397201158994,80.56348764835867
21,NOT CAPTURED,500-CB,18345.23102850454,9896.298134085473,28241.529162590014,85.03458906728753
22,POND A,POND-A,52.612488210635256,17968.409941136702,18021.022429347337,61.108021732475265
23,POND A,218-CB,20534.86609035832,7381.68614010798,27916.5522304663,88.21647139914622
24,POND A,219-CB,20378.160920645598,11566.10204305383,31944.262963699428,84.60336048199649
25,POND A,110-CB,11975.940646974146,4125.052915666367,16100.993562640513,88.52064971730694
26,POND A,107-CB,22195.841677755107,7814.462124028096,30010.3038017832,88.36547245576838
27,POND A,106-CB,6654.4802403820195,19539.442891402945,26193.923131784963,70.39972861855752
28,POND A,103-CB,18029.95814501034,9261.88272945501,27291.84087446535,85.44351241947695
29,POND A,100-CB,8190.4242839606,2381.467545039177,10571.891828999778,89.66522883588885
30,POND A,101-CB,7362.511522980567,2423.266932501932,9785.7784554825,88.83763474613113
31,POND A,113-CB,7820.808966009537,6410.543916617149,14231.352882626685,81.33326937564799
32,POND A,111-CB,2831.704569831791,942.8886572687674,3774.5932271005586,88.75744637370035
33,POND B,213-CB,12548.32344027731,6175.384906124476,18723.708346401785,85.79679552258592
34,POND A,214-CB,6417.826027780415,1835.7149717437921,8253.540999524206,89.77062863582603
